Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Encontrada;Conta Vinculada
3014900830;000095.000000.000020.000042.000000.000000;True;False;False
3003303219;000095.000000.000015.000059.000000.000000;False;False;False
3014503318;000095.000000.000015.000060.000000.000000;False;False;False
3014503407;000095.000000.000020.000043.000000.000000;False;False;False
3014625471;000095.000000.000020.000044.000000.000000;True;False;False
3003657687;000095.000000.000020.000045.000000.000000;False;False;False
3004760615;000095.000000.000018.000029.000000.000000;False;False;False
3010018658;000095.000000.000021.000044.000000.000000;False;False;False
3009015677;000095.000000.000017.000020.000000.000000;False;False;False
3003732816;000095.000000.000018.000063.000000.000000;False;False;False
3001050527;000095.000000.000018.000063.000000.000000;False;False;False
Funciona dentro da Escola;000095.000000.000019.000054.000001.000000;False;False;False
3005771898;000095.000000.000018.000039.000000.000000;False;False;False
3007599023;000095.000000.000018.000040.000000.000000;False;False;False
3004510510;000095.000000.000018.000041.000000.000000;False;False;False
3007725182;000095.000000.000018.000042.000000.000000;False;False;False
3003871528;000095.000000.000018.000043.000000.000000;False;False;False
3011815054;000095.000000.000016.000058.000000.000000;False;False;False
3004066096;000095.000000.000000.000000.000000.000000;False;False;False
3004084588;000095.000000.000000.000000.000000.000000;False;False;False
3004066095;000095.000000.000000.000000.000000.000000;False;False;False
3004084591;000095.000000.000000.000000.000000.000000;False;False;False
3004066106;000095.000000.000000.000000.000000.000000;False;False;False
3004066105;000095.000000.000000.000000.000000.000000;False;False;False
3004066104;000095.000000.000000.000000.000000.000000;False;False;False
3004066103;000095.000000.000000.000000.000000.000000;False;False;False
3004066102;000095.000000.000000.000000.000000.000000;False;False;False
3004084589;000095.000000.000000.000000.000000.000000;False;False;False
3004066101;000095.000000.000000.000000.000000.000000;False;False;False
3004084590;000095.000000.000000.000000.000000.000000;False;False;False
3004066100;000095.000000.000000.000000.000000.000000;False;False;False
3004066099;000095.000000.000000.000000.000000.000000;False;False;False
3004066098;000095.000000.000000.000000.000000.000000;False;False;False
3004066097;000095.000000.000000.000000.000000.000000;False;False;False
3006559931;000095.000000.000021.000048.000000.000000;False;False;False
3010606140;000095.000002.000004.000002.000000.000000;False;False;False
3005574542;000095.000000.000018.000044.000000.000000;False;False;False
3009015219;000095.000000.000021.000021.000000.000000;False;False;False
3004992102;000095.000000.000021.000049.000000.000000;False;False;False
3003302298;000095.000000.000021.000024.000000.000000;False;False;False
3003408441;000095.000000.000020.000046.000000.000000;False;False;False
3015092016;000095.000000.000018.000060.000000.000000;True;False;False
3007706206;000095.000000.000018.000046.000000.000000;False;False;False
3007668885;000095.000000.000018.000047.000000.000000;False;False;False
3014550112;000095.000000.000018.000064.000000.000000;True;False;False
3007600643;000095.000000.000018.000048.000000.000000;False;False;False
3007467546;000095.000000.000018.000049.000000.000000;False;False;False
3014978787;000095.000000.000018.000061.000000.000000;True;False;False
3015514015;000095.000000.000020.000047.000000.000000;True;False;False
3014307354;000095.000000.000018.000051.000000.000000;False;False;False
3010172733;000095.000000.000018.000052.000000.000000;False;False;False
3003391464;000095.000000.000020.000048.000000.000000;False;False;False
3007594247;000095.000000.000018.000053.000000.000000;False;False;False
Funciona dentro do POLIESPORTIVO DOM BOSCO;000095.000000.000019.000051.000001.000000;False;False;False
3003391468;000095.000000.000019.000053.000001.000000;False;False;False
3010365593;000095.000000.000020.000049.000000.000000;False;False;False
3014568037;000095.000000.000023.000044.000000.000000;False;False;False
3005068483;000095.000000.000018.000054.000000.000000;False;False;False
3009019872;000095.000000.000021.000023.000000.000000;False;False;False
3006316055;000095.000000.000016.000059.000000.000000;False;False;False
3006316056;000095.000000.000016.000059.000000.000000;False;False;False
3014278872;000095.000000.000019.000050.000000.000000;True;False;False
3003732808;000095.000000.000021.000047.000000.000000;False;False;False
3003303287;000095.000000.000022.000033.000001.000000;False;False;False
Funciona dentro do MERCADO LAGOINHA;000095.000000.000019.000062.000001.000000;False;False;False
3009015674 > ATUA NO MESMO PREDIO DO CEM;000095.000000.000019.000064.000000.000000;False;False;False
3004237418;000095.000000.000019.000028.000000.000000;True;False;False
3007256268;000095.000000.000019.000047.000000.000000;False;False;False
3003303272;000095.000000.000019.000048.000000.000000;False;False;False
3014535123;000095.000000.000019.000049.000000.000000;False;False;False
3006751892;000095.000000.000019.000051.000000.000000;False;False;False
Imovel proprio - unidade PPP;000095.000000.000020.000050.000000.000000;False;False;False
3007171099;000095.000000.000020.000051.000000.000000;False;False;False
Não possui prédio próprio. Funciona no Parque Jacques Cousteau;000095.000000.000021.000040.000001.000000;False;False;False
Não possui prédio próprio. Funciona dentro do equipamento do CRAS Havaí;000095.000000.000021.000045.000001.000000;False;False;False
3014418642;000095.000000.000020.000052.000000.000000;False;False;False
3014567954;000095.000000.000023.000046.000000.000000;True;False;False
Não possui prédio próprio. Funciona no CRAS;000095.000000.000021.000052.000001.000000;False;False;False
3007689061;000095.000000.000020.000054.000000.000000;False;False;False
3015030383;000095.000000.000020.000055.000000.000000;True;False;False
3005702895;000095.000000.000020.000056.000000.000000;False;False;False
3003303751;000095.000000.000020.000057.000000.000000;False;False;False
3007633142;000095.000000.000018.000057.000000.000000;False;False;False
3014432871;000095.000000.000018.000058.000000.000000;True;False;False
3014568559;000095.000000.000021.000045.000000.000000;True;False;False
3003303189;000095.000000.000021.000029.000000.000000;False;False;False
3007590286;000095.000000.000017.000050.000000.000000;False;False;False
3014281192;000095.000000.000021.000057.000000.000000;True;False;False
