Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Encontrada;Conta Vinculada
Y15L0097895;000042.000002.000014.000002.000000.000000;False;False;False
130667625;000042.000002.000014.000003.000000.000000;False;False;False
Y23G1231015;000042.000002.000014.000003.000000.000000;False;False;False
110381360;000042.000002.000014.000004.000000.000000;False;False;False
A13S0086528;000042.000002.000014.000004.000000.000000;False;False;False
122604890;000042.000002.000014.000005.000000.000000;False;False;False
A19N0414374;000042.000002.000014.000005.000000.000000;False;False;False
105342432;000042.000002.000014.000006.000000.000000;False;False;False
Y21G0563381;000042.000002.000014.000006.000000.000000;False;False;False
110674341;000042.000002.000015.000002.000000.000000;False;False;False
A13S0525766;000042.000002.000015.000002.000000.000000;False;False;False
120661845;000042.000002.000015.000003.000000.000000;False;False;False
Y20G0823225;000042.000002.000015.000003.000000.000000;False;False;False
107355337;000042.000002.000015.000004.000000.000000;False;False;False
Y25S9093226;000042.000002.000015.000004.000000.000000;False;False;False
15856429;000042.000000.000000.000000.000000.000005;False;False;False
Y20G0459043;000042.000000.000000.000000.000000.000005;False;False;False
22623817;42 02 04 00 00 000 1;False;False;False
D17B7042560;42 02 04 00 00 000 1;False;False;False
1991680;42 02 04 00 00 000 1;False;False;False
A22G0211055;42 02 04 00 00 000 1;False;False;False
11369531;42 02 04 00 00 000 1;False;False;False
A24H0005662;42 02 04 00 00 000 1;False;False;False
125082291;42 02 04 00 00 000 1;False;False;False
A25H0024766;42 02 04 00 00 000 1;False;False;False
158081641;42 02 04 00 00 000 1;False;False;False
A25H0021105;42 02 04 00 00 000 1;False;False;False
11371561;000042.000002.000018.000000.000000.000000;False;False;False
A22G0216962;000042.000002.000018.000000.000000.000000;False;False;False
10968911;000042.000002.000018.000000.000000.000000;False;False;False
A13Z0104425;000042.000002.000018.000000.000000.000000;False;False;False
11004614;000042.000002.000018.000000.000000.000000;False;False;False
D18B0702004;000042.000002.000018.000000.000000.000000;False;False;False
709425;000042.000002.000018.000000.000000.000000;False;False;False
Y12N0344078;000042.000002.000018.000000.000000.000000;True;False;False
23905867;000042.000002.000016.000000.000000.000000;False;False;False
Y23G1313178;000042.000002.000016.000000.000000.000000;False;False;False
24797847;000042.000002.000016.000000.000000.000000;False;False;False
Y25S9024436;000042.000002.000016.000000.000000.000000;False;False;False
867241;000042.000002.000016.000000.000000.000000;False;False;False
A13Z0106187;000042.000002.000016.000000.000000.000000;False;False;False
1833502;000042.000002.000016.000000.000000.000000;False;False;False
A22G0201326;000042.000002.000016.000000.000000.000000;False;False;False
22482423;000042.000000.000002.000000.000000.000000;False;False;False
A13S0585366;000042.000000.000002.000000.000000.000000;True;False;False
171692641;000042.000001.000001.000002.000000.000000;False;False;False
Y23G1105409;000042.000001.000001.000002.000000.000000;True;False;False
2584379;000042.000003.000007.000001.000000.000001;False;False;False
A19N0090625;000042.000003.000007.000001.000000.000001;False;False;False
850004;000042.000003.000007.000001.000000.000003;False;False;False
Y22G1094454;000042.000003.000007.000001.000000.000003;False;False;False
1186116;000042.000003.000007.000001.000000.000005;False;False;False
Y22S0464753;000042.000003.000007.000001.000000.000005;False;False;False
119927373;000042.000003.000007.000001.000000.000004;False;False;False
Y23G1197367;000042.000003.000007.000001.000000.000004;False;False;False
2887371;000042.000003.000007.000001.000000.000009;False;False;False
Y15L0049855;000042.000003.000007.000001.000000.000009;False;False;False
19834179;000042.000003.000005.000001.000000.000000;False;False;False
C13S0007360;000042.000003.000005.000001.000000.000000;False;False;False
11323906;000042.000003.000001.000001.000000.000000;False;False;False
Y24G0012777;000042.000003.000001.000001.000000.000000;False;False;False
17309298;000042.000003.000002.000001.000000.000000;False;False;False
A25H0016606;000042.000003.000002.000001.000000.000000;False;False;False
